片名,年代,产地,类别,语言,字幕,上映时间,豆瓣评分,IMDb评分,文件格式,视频尺寸,文件大小,时长,导演,下载链接
念念相忘,2023,中国大陆,爱情,汉语普通话,中文字幕,2023-08-22(中国大陆),6.6/10 from 15723,5.4/10 from 11 users,x264 + ACC,1920 x 1080,2535 MB,103 Mins,刘雨霖,magnet:?xt=urn:btih:7378f355a4096ddbf4862d75101623c64e91eff6&dn=[电影天堂www.dytt89.com]念念相忘-2023_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
绝地追击,2023,中国大陆,动作/犯罪/灾难,汉语普通话,中文字幕,2023-08-25(中国大陆),7.0/10 from 11832,6.0/10 from 21 users,x264 + ACC,1920 x 1080,2605 MB,108 Mins,邱礼涛,magnet:?xt=urn:btih:af073047f3fc347161ee3ce9c3b0ccb717236eda&dn=[电影天堂www.dytt89.com]绝地追击-2023_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
封神第一部：朝歌风云,2023,中国大陆,奇幻/动作/战争/古装,汉语普通话,中英双字幕,2023-07-20(中国大陆)/2023-07-15(大规模点映),8.0/10 from 875854,7.3/10 from 999 users,x264 + ACC,1920 x 1080,2857 MB,148 Mins,乌尔善,magnet:?xt=urn:btih:fe860a9f410b0bf80071ab125a62e496703b8c37&dn=[电影天堂www.dytt89.com]封神第一部：朝歌风云-2023_HD超清国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
茶啊二中,2023,中国大陆,动画/喜剧/奇幻,汉语普通话/东北方言/大连方言,中文字幕,2023-07-14(中国大陆),7.7/10 from 64964,6.9/10 from 58 users,x264 + ACC,1920 x 1080,2122 MB,91 Mins,夏铭泽,magnet:?xt=urn:btih:af3f8a06950cab2b197745d7bc36a4c9800570c1&dn=[电影天堂www.dytt89.com]茶啊二中-2023_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
蓝甲虫,2023,美国/墨西哥,科幻/惊悚/冒险/动作,英语,中英双字幕,2023-08-18(美国),5.3/10 from 1493,6.6/10 from 30000 users,x264 + ACC,1920 x 1080,2380 MB,127 Mins,安杰尔&middot;曼纽尔&middot;索托,magnet:?xt=urn:btih:ec13f77738e5298bd9f3d3bd07473bf6be4ea07b&dn=[电影天堂www.dytt89.com]蓝甲虫-2023_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
暗杀风暴,2023,中国香港/中国大陆,悬疑/犯罪,汉语普通话/粤语,中文字幕,2023-08-18(中国大陆),6.2/10 from 20058,5.9/10 from 53 users,x264 + ACC,1920 x 1080,2343 MB,100 Mins,邱礼涛,magnet:?xt=urn:btih:f223eb9a9cc6301b091fa20507fd3ada88b0475f&dn=[电影天堂www.dytt89.com]暗杀风暴-2023_HD国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
八角笼中,2023,中国大陆,动作/剧情,汉语普通话/四川方言,中文字幕,2023-07-06(中国大陆)/2023-06-16(上海国际电影节)/2023-06-22(大规模点映),7.5/10 from 251035,6.8/10 from 192 users,x264 + ACC,1920 x 1080,2087MB,117 Mins,王宝强,magnet:?xt=urn:btih:386ddaf67c86441677f11b679e50bd49f62fe16b&dn=[电影天堂www.dytt89.com]八角笼中-2023_HD超清国语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
夺宝奇兵5：命运转盘,2023,美国,冒险/动作,英语/德语/古希腊语,中英双字幕,2023-06-30(美国/中国大陆)/2023-05-18(戛纳国际电影节),7.3/10 from 25255,6.8/10 from 98000 users,x264 + ACC,1920 x 1080,3613 MB,155 Mins,詹姆斯&middot;曼高德,magnet:?xt=urn:btih:d3120b259727cefafaf31f31e64cf7ead84e6bdb&dn=[电影天堂www.dytt89.com]夺宝奇兵5：命运转盘-2023_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
巨齿鲨2：深渊,2023,美国/中国大陆,动作/科幻/冒险,英语,中文字幕,2023-08-04(美国/中国大陆),5.5/10 from 91786,5.5/10 from 18000 users,x264 + ACC,1920 x 1080,2700 MB,119 Mins,本&middot;维特利,magnet:?xt=urn:btih:b68dec5e0f50e85cd199062f28ab9868292df168&dn=[电影天堂www.dytt89.com]巨齿鲨2：深渊-2023_BD中英双字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
MONDAYS,2022,日本,喜剧/科幻,日语,中文字幕,2022-10-14(日本),7.2/10 from 14679,6.8/10 from 111 users,x264 + ACC,1920 x 1080,1925 MB,82 Mins,竹林亮,magnet:?xt=urn:btih:db6d8d1429106d506aad86d3423ad253febe2323&dn=[电影天堂www.dytt89.com]MONDAYS-2022_BD日语中字.mp4&tr=http://t.t789.me:2710/announce&tr=http://t.t789.co:2710/announce&tr=http://t.t789.vip:2710/announce
